timestamp,handle,displayName,followers,accountType,region,country,sentiment,sentimentScore,likes,retweets,replies,tweetUrl,text
2026-07-03T00:43:41.000Z,"@QQ_Timmy","駿HaYaO","28.6K","amplifier","Asia","Asia",neutral,0,5,,1,"https://x.com/QQ_Timmy/status/2072843686493507912","#每日導讀 #20260703 #經濟日報  英特爾傳搶下Google下一代TPU先進封裝訂單，台積電CoWoS面臨分流壓力 台股外資單日倒貨890億元，內資撐盤收斂跌幅至274點 台積電200億美元增資美國亞利桑那廠獲投審會通過   完整導讀 →  https:// reurl.cc/L2vnGx"
2026-07-03T00:19:36.000Z,"@QQ_Timmy","駿HaYaO","28.6K","amplifier","Asia","Asia",neutral,0,14,,,"https://x.com/QQ_Timmy/status/2072837626151965126","早安！7/3 外電綜合整理  - 2330台積電: 美系升目標 美系券商上修到明年底N3／N2 晶圓產出產能為：200kwpm/ 140kwpm。上修明年CoWoS產能至280kwpm。上調明年資本支出至780 億美元。上修26-28年毛利率，尤其後年有望達到67.3%。N2需求暢旺，首年晶圓產出比N3的首年高出45%。預期N2／A16 產能於"
2026-07-03T00:33:22.000Z,"@zephyr_z9","Zephyr","156.4K","amplifier","South Korea","South Korea",positive,5.473,4,,1,"https://x.com/zephyr_z9/status/2072841091980963946","LOL It's still under training Model will arrive by September or Q4 The gap will just grow larger"
2026-07-03T00:31:41.000Z,"@damnang2","Damnang2","35.4K","amplifier","United States","United States",neutral,0,,,,"https://x.com/damnang2/status/2072840667798311252",""
2026-07-03T00:04:09.000Z,"@antiAIvo","纳米AI","15K","amplifier","China","China",neutral,0,,,,"https://x.com/antiAIvo/status/2072833739454128358","怎么还有以色列？"
2026-07-03T01:49:03.000Z,"@semivision_tw","SemiVision  ","11.7K","competitor","Taiwan","Taiwan",negative,-5.994,,,,"https://x.com/semivision_tw/status/2072860136700317764","Turning Disaggregated Memory into a First-Class Compute Resource As AI models grow beyond the physical limits of on-package HBM, system architects are rethinking a long-standing assumption: memory must sit next to the compute die. The emerging alternative is memory"
2026-07-03T01:37:17.000Z,"@pequityresearch","P Equity Research ","8,899","amplifier","International","International",positive,4.215,,,,"https://x.com/pequityresearch/status/2072857177241317584","Lol"
2026-07-03T01:30:05.000Z,"@vikramskr","Vikram Sekar","19.5K","amplifier","International","International",neutral,0,2,,,"https://x.com/vikramskr/status/2072855365159719066",""
2026-07-03T01:03:27.000Z,"@semivision_tw","SemiVision  ","11.7K","competitor","Taiwan","Taiwan",neutral,0,1,,,"https://x.com/semivision_tw/status/2072848661546254594","有趣"
2026-07-03T00:56:04.000Z,"@vikramskr","Vikram Sekar","19.5K","amplifier","International","International",positive,6.369,,,,"https://x.com/vikramskr/status/2072846802500583749","To understand why the change of heart"
2026-07-03T00:50:41.000Z,"@dmjk001","快讯","24.6K","amplifier","China","China",neutral,0,2,,1,"https://x.com/dmjk001/status/2072845449439142224","苹果将在 iPhone 18 Pro 双机型的 1TB 和 2TB 版本中，用速度更慢的 QLC 闪存取代更快的 TLC 闪存，同时维持高昂售价"
2026-07-03T00:39:37.000Z,"@semivision_tw","SemiVision  ","11.7K","competitor","Taiwan","Taiwan",neutral,0,1,,1,"https://x.com/semivision_tw/status/2072842666212274203",""
2026-07-03T00:33:19.000Z,"@pequityresearch","P Equity Research ","8,899","amplifier","International","International",positive,8.176,,,,"https://x.com/pequityresearch/status/2072841081150943383","Thanks man  wishing success for both of us"
2026-07-03T00:31:38.000Z,"@pequityresearch","P Equity Research ","8,899","amplifier","International","International",positive,7.05,1,,1,"https://x.com/pequityresearch/status/2072840654992904633","Haha dont say that, ive researched but im still trying to improve as a researcher "
2026-07-03T00:10:56.000Z,"@pequityresearch","P Equity Research ","8,899","amplifier","International","International",negative,-2.96,2,,1,"https://x.com/pequityresearch/status/2072835444497072193","I started a position at $186. I may add more if it goes lower."
2026-07-03T00:00:05.000Z,"@semivision_tw","SemiVision  ","11.7K","competitor","Taiwan","Taiwan",positive,6.369,1,,,"https://x.com/semivision_tw/status/2072832715343409373","I love them "
2026-07-03T01:40:28.000Z,"@wallstengine","Wall St Engine","159.1K","amplifier","International","International",neutral,0,16,1,5,"https://x.com/wallstengine/status/2072857976793440297","$MSTR  -73% in one year "
