timestamp,handle,displayName,followers,competitorMentioned,sentiment,sentimentScore,likes,retweets,replies,tweetUrl,text
2026-07-21T01:00:27.000+08:00,"@PodcastAlphaX","Podcast Alpha","11.2K","SemiAnalysis",neutral,0,1,,,"https://x.com/PodcastAlphaX/status/2079250094491123913","Jordan Nanos  @JordanNanos : Kimi K3 is too big for a single B200.  2.8 trillion parameters.  Nanos, a SemiAnalysis  @SemiAnalysis_  host, maps models to silicon for a living. To serve Kimi K3 on one node you need Nvidia GB300 or B300-class systems, or AMD's MI355X. A B200 cannot"
2026-07-21T00:35:13.000+08:00,"@stocktalkjay","StockTalkWithJay","9,852","SemiAnalysis",neutral,0,10,1,4,"https://x.com/stocktalkjay/status/2079243741475508345","月之暗面旗下大模型Kimi K3采用线性注意力机制，引发市场对英伟达、HBM以及网络设备需求可能受到削弱的担忧。"
2026-07-21T06:05:13.000+08:00,"@stalkermustang","Igor Kotenkov","3,368","SemiAnalysis",positive,7.564,4,1,2,"https://x.com/stalkermustang/status/2079326790632272115","Let's say in 3 months we look back at new and fresh benchmarks and realize K3 is actually on par with GPT-5.5 or even 5.6 (assuming they share the same base model).  What does that say about OpenAI? Do you think their model is just noticeably smaller—both in total and active"
2026-07-21T05:00:24.000+08:00,"@PodcastAlphaX","Podcast Alpha","11.2K","SemiAnalysis",positive,1.027,1,,1,"https://x.com/PodcastAlphaX/status/2079310480276131873","If you hold  $MU , Jordi Visser  @jvisserlabs  has one filter: the earnings step-up function.  He only wants names that have not yet had the quarter where beats jump from incremental to dramatic. That is the repricing moment. Micron, Samsung, and ASML all cleared their earnings bar"
2026-07-21T04:30:40.000+08:00,"@MaxForAI","Max For AI","16K","SemiAnalysis",neutral,0,10,,4,"https://x.com/MaxForAI/status/2079302997365203081","卧槽？？华为这么牛逼？？  著名半导体媒体  @SemiAnalysis_   拆解了一颗华为麒麟 9030芯片，结果大大出乎意料  他们将麒麟 9030 芯片开盖，并放到电子显微镜下分析。  结果显示麒麟 9030 内部最小金属间距（Metal Pitch）达到 32.5 纳米。  这个数字甚至比 Intel 最新 18A 工艺节点的 Panther Lake"
2026-07-21T03:54:26.000+08:00,"@chris_gorin","Chris Gorin","unknown","SemiAnalysis",positive,1.28,2,,1,"https://x.com/chris_gorin/status/2079293879698808940","Measuring Chinese data centers by GW alone can be misleading. Even assuming this data center is only using Huawei's best (Ascend 910C), SemiAnalysis puts its perf-per-watt ~2.3x behind a GB200 rack. So you'd need 2.3GW of Huawei to match 1GW of Blackwell."
2026-07-21T03:47:25.000+08:00,"@RobertDMellish","Dave Mellish","unknown","SemiAnalysis",positive,4.877,,,1,"https://x.com/RobertDMellish/status/2079292113163079739","@semianalysis more of these plz Clear, Concise, Calorie Dense"
2026-07-21T03:46:55.000+08:00,"@JonkooTrades","The Trend Sage","6,315","SemiAnalysis",positive,1.068,5,,,"https://x.com/JonkooTrades/status/2079291986507706488","The filings back every word of this, and I'd add three details that make it even stronger.  The pricing confirms the whole thesis → SOFR + 2.50%, roughly 6.8% all-in, from a MUFG-led syndicate of global BANKS, not private credit. Compare that to the double-digit"
2026-07-21T02:56:36.000+08:00,"@RRutilius753","Rufus Rutilius","871","SemiAnalysis",neutral,0,17,4,1,"https://x.com/RRutilius753/status/2079279322733645959","cc  @CommunityNotes  SemiAnalysis' teardown confirms the 32.5 nm M0 metal pitch on SMIC N+3 (Kirin 9030), tighter than Intel 18A's shipped 36 nm pitch. However, their full analysis notes this is a cherry-picked metric. Overall transistor density on N+3 (~113 MTr/mm²) trails Intel"
2026-07-21T01:54:59.000+08:00,"@Arcinist0","Blue","34","SemiAnalysis",positive,2.5,,,1,"https://x.com/Arcinist0/status/2079263816945172840","""Senior director""  No link to github  As you know, SemiAnalysis could care less as long as they are getting the bag, question is who paid them for it."
2026-07-21T01:49:02.000+08:00,"@HotAisle","Hot Aisle","5,350","SemiAnalysis",positive,3.846,47,4,3,"https://x.com/HotAisle/status/2079262319486603537","More  $amd  public love from SemiAnalysis.   Seems they have turned on nvidia now.  No loyalty in AI."
