timestamp,handle,displayName,followers,accountType,region,country,sentiment,sentimentScore,likes,retweets,replies,tweetUrl,text
2026-06-29T01:36:09.000Z,"@bubbleboi","bubble boi","88.2K","amplifier","International","International",negative,-5.574,6,1,3,"https://x.com/bubbleboi/status/2071407341107634262","I wouldn’t invest in a founder who’s not willing to work at the corgi cafe day one.   Enough of this fancy office shit. Get your 41 gram protein milkshake slop sit down shut up and get to work."
2026-06-29T00:53:33.000Z,"@bubbleboi","bubble boi","88.2K","amplifier","International","International",neutral,0,1,,1,"https://x.com/bubbleboi/status/2071396621515116918","I will just jog"
2026-06-29T00:52:50.000Z,"@bubbleboi","bubble boi","88.2K","amplifier","International","International",neutral,0,2,,,"https://x.com/bubbleboi/status/2071396437825622033","By the way I didn’t buy any of these clothes"
2026-06-29T00:51:26.000Z,"@dnystedt","Dan Nystedt","51.5K","amplifier","Taiwan","Taiwan",neutral,0,2,,,"https://x.com/dnystedt/status/2071396085101441085","Links:   https:// money.udn.com/money/story/56 12/9591460 …   https:// ec.ltn.com.tw/article/breaki ngnews/5484806 …   https:// ctee.com.tw/news/202606267 01890-430501 …"
2026-06-29T00:51:16.000Z,"@dnystedt","Dan Nystedt","51.5K","amplifier","Taiwan","Taiwan",negative,-1.027,16,3,2,"https://x.com/dnystedt/status/2071396047046504509","TSMC has tapped ShunSin Technology, a Foxconn chip packaging & testing subsidiary, for Fiber Array Unit (FAU) and Grating Coupling work as part of its COUPE optical engine platform, media report, citing ShunSin Chairman Shang-Yi Chiang, former head of R&D at TSMC.   -Two former"
2026-06-29T00:48:04.000Z,"@dnystedt","Dan Nystedt","51.5K","amplifier","Taiwan","Taiwan",neutral,0,1,,,"https://x.com/dnystedt/status/2071395238325924124","Links:   https:// money.udn.com/money/story/56 12/9592865 …   https:// ctee.com.tw/news/202606287 00037-430501 …   https:// ec.ltn.com.tw/article/breaki ngnews/5485919 …"
2026-06-29T00:47:20.000Z,"@dnystedt","Dan Nystedt","51.5K","amplifier","Taiwan","Taiwan",positive,2.732,17,5,1,"https://x.com/dnystedt/status/2071395053369799090","TSMC affiliate Vanguard, a mature-process foundry, said it can no longer meet demand, expects the shortage to last through end-2026, and is mulling a 2nd fab in Singapore, media report:  -Demand strong for power management (PMIC) and industrial analog chips  -Visibility now"
2026-06-29T00:45:34.000Z,"@bubbleboi","bubble boi","88.2K","amplifier","International","International",neutral,0,13,,,"https://x.com/bubbleboi/status/2071394612779061609","Certified degen"
2026-06-29T00:20:22.000Z,"@jukan05","Jukan @ICML","155.3K","amplifier","South Korea","South Korea",positive,4.404,32,2,2,"https://x.com/jukan05/status/2071388270530039938","Just filtering out the self-proclaimed experts who keep saying China will dump memory already helps a lot in forming a better judgment."
2026-06-29T00:16:30.000Z,"@QQ_Timmy","駿HaYaO","28.6K","amplifier","Asia","Asia",positive,7.339,22,,,"https://x.com/QQ_Timmy/status/2071387296461656099","Good morning! 6/29 Foreign Media Roundup  - 2454 MediaTek: Aussie firm raises target Aussie brokerage firm has raised its ASIC revenue forecast to US$40 billion by 2028 (previously estimated at US$18 billion). Next-gen TPU in 2028 will adopt more advanced process nodes, with ASP"
