timestamp,handle,displayName,followers,knownAccount,accountType,country,sentiment,sentimentScore,creditFlag,cited,textSimilarity,imageMatch,ocrFoundTF,likes,retweets,replies,tweetUrl,text
2026-07-18T23:30:01.000+08:00,"@statementdog","Statementdog | Taiwan Tech Insights","193",no,"unknown","Unknown",negative,-2.732,"credited",yes,4.36,no,no,1,,,"https://x.com/statementdog/status/2078502557820076484","Taiwan's AUO (2409 TT) wants Micro LED to replace lasers in short-reach AI data center links. Per TrendForce, a 1.6Tbps pluggable transceiver draws about 30W; a Micro LED co-packaged optics module runs at 1.6W, a 95% cut, at up to 2Tbps per mm².  That fits the specs  $NVDA ,"
2026-07-18T23:15:14.000+08:00,"@equityclimb1","Equity Climb","487",no,"unknown","United States",positive,5.994,"credited",yes,4.62,no,no,,,,"https://x.com/equityclimb1/status/2078498837841261039","NAND flash entered what analysts are openly calling a super cycle in the first quarter of 2026. TrendForce had contract prices up 55 to 60 percent quarter over quarter in Q1. Not year over year. Quarter over quarter. Then Q2 forecasts came in at 70 to 75 percent, meaning NAND is"
2026-07-18T22:59:36.000+08:00,"@dcoderio","DCODER ➜ dcoder.io","2,675",no,"unknown","Unknown",neutral,0,"no_tf_content",no,4.64,no,no,18,3,2,"https://x.com/dcoderio/status/2078494905052082622","I bought an SSD for R$1,700 last year. The same model is R$4,800 today.  It was the AI.  Samsung, SK Hynix, and Micron reallocated memory production to make HBM, which is the memory that goes into data center GPUs. Less DRAM and NAND left for everything else, and memory contract"
2026-07-18T21:50:41.000+08:00,"@jacky_huu","杰克狐","15",no,"unknown","Unknown",neutral,0,"no_tf_content",no,0,no,no,1,,,"https://x.com/jacky_huu/status/2078477560695119912",""
2026-07-18T20:44:40.000+08:00,"@Eastaisa_money","East Asia Market Lab","119",no,"unknown","Japan",neutral,0,"credited",yes,1.57,no,no,,,,"https://x.com/Eastaisa_money/status/2078460946939572732","【AIブームで最も値上がりするのは「成熟メモリ」か】  TrendForceは7月13日、2026年下期のSLC NAND契約価格が上期比120〜170%上昇すると予測した。  驚くべきは、6月16日時点の予測が70〜75%だったこと。  わずか約1カ月で、予測上限が75%から170%へ引き上げられた。1/9  ⸻  【SLC NANDとは何か】"
2026-07-18T19:53:24.000+08:00,"@Eastaisa_money","East Asia Market Lab","119",no,"unknown","Japan",neutral,0,"no_tf_content",no,0.77,no,no,1,,,"https://x.com/Eastaisa_money/status/2078448046913036771","【キオクシア急落を数字で分解】  7月17日、キオクシアHD（285A）は52,110円、前日比−16.1%のストップ安。しかし「371億円の訴訟＝企業価値が16%減った」と読むと本質を外す。  市場が売ったのは賠償額そのものより、①将来ロイヤルティの不確実性、②7月31日決算前に膨らんだ期待だ。1/9  ⸻"
2026-07-18T19:23:07.000+08:00,"@Jaymin_Alpha","제이민","10.4K",no,"unknown","South Korea",neutral,0,"no_tf_content",no,2.19,no,no,4,,,"https://x.com/Jaymin_Alpha/status/2078440423731921078","키옥시아 한 달 새 '반토막', 노무라는 되레 목표가 상향: 낸드 가격 상승세 이어진다 자오잉(趙穎) | 2026.07.17  [분석 요약]  1. 핵심 메시지 - 키옥시아(铠侠) 주가가 정점서 반토막 난 시점에 노무라증권이 역발상으로 목표가를 12.6만 엔으로 상향, 매수 재확인 - 근거 두 촉매: 낸드 비트당"
2026-07-18T16:18:02.000+08:00,"@xshibuxshibux","シブシブ","172",no,"unknown","Unknown",neutral,0,"no_tf_content",no,0,no,no,1,,,"https://x.com/xshibuxshibux/status/2078393846946566349",""
2026-07-18T16:11:30.000+08:00,"@technews_tw","TechNews 科技新報","4,913",no,"unknown","Unknown",neutral,0,"credited",yes,1.9,no,no,,,1,"https://x.com/technews_tw/status/2078392202846413292","AI 商機大爆發！TrendForce 估 AI 專用光收發模組市場，明年規模將年增超過 57%。 #光收發模組 #AI資料中心 #矽光子"
2026-07-18T14:03:39.000+08:00,"@SDV_Insider","自動運転SDVの最新トレンドを発信","33",no,"unknown","Japan",neutral,0,"credited",yes,2.47,no,no,,,,"https://x.com/SDV_Insider/status/2078360029602726188","Micronが自動車エコシステム7社と戦略的顧客契約(SCA)を締結、累計16件でDRAM生産の2割・NAND生産の3分の1をカバー。背景はAI向けHBM需要が既存DRAM/NAND生産ラインを侵食する構造変化。TrendForceは車載SLC NAND価格が2026年後半に120〜170%高騰すると予測。  https:// note.com/sdv_insider/n/ na048a714ae49 … #Micron"
2026-07-18T13:14:37.000+08:00,"@Blackbr12957445","Blackbriar","157",no,"unknown","Unknown",neutral,0,"credited",yes,0.88,no,no,,,,"https://x.com/Blackbr12957445/status/2078347690212303136","KIMIについてXのタイムラインに流れてこず、TrendForceの直近のポストにも見当たらず。台湾のテックジャーナリストのとこで議論を見つけたくらい。  ただソフトでショックですが、本当に怖いのはハードではないか。中国の半導体産業のエコシステムの成長はと年を追うごとに侮れないものに。"
2026-07-18T13:00:20.000+08:00,"@ajs6888","安叫兽|Bird  BNB","19.3K",no,"unknown","Unknown",neutral,0,"no_tf_content",no,0,no,no,,,,"https://x.com/ajs6888/status/2078344093495959705","算力不够时，工程味就出来了"
2026-07-18T12:26:30.000+08:00,"@Ojizo_Strategy","お地蔵","185",no,"unknown","Unknown",neutral,0,"no_tf_content",no,0.67,no,no,1,,,"https://x.com/Ojizo_Strategy/status/2078335579708871078","キオクシアホールディングス（285A）の今後の株価・業績予想  キオクシア（旧東芝メモリ）はNANDフラッシュメモリの大手メーカーで、AIデータセンター需要の恩恵を強く受けています。 2026年現在、上場来の株価は非常にボラティリティが高く、直近は落ちるナイフ状態。  1."
2026-07-18T11:05:25.000+08:00,"@inverscompu","Licha | Datos y Finanzas","835",no,"unknown","Unknown",negative,-2.96,"credited",yes,3.76,no,no,,,,"https://x.com/inverscompu/status/2078315176110006294","Los precios de los contratos de DRAM y NAND Flash no paran de escalar.   TrendForce acaba de revisar al alza sus proyecciones para este Q3:   PC DRAM: +15% a +20% (arriba del 8-13% previo)  Server DRAM: +13% a +18%   NAND Flash: +10% a +15% Los proveedores (Samsung, SK"
2026-07-18T08:17:35.000+08:00,"@3iwa","furuna","unknown",no,"unknown","Unknown",neutral,0,"credited",yes,2.77,no,no,,,,"https://x.com/3iwa/status/2078272936851685568","Subscribe to TrendForce"
2026-07-18T08:12:38.000+08:00,"@ParadisLabs","Paradis Labs","61.2K",no,"unknown","Unknown",positive,2.869,"credited",yes,4.32,no,no,1.8K,138,32,"https://x.com/ParadisLabs/status/2078271693408104728","Recommended reading for the weekend:  1. Simon Willison — Kimi K3, and what we can still learn from the pelican benchmark 2. J.P. Morgan — Powering the AI Revolution 3. Zephyr — How to break the memory supercycle? Or is it even possible? 4. TrendForce — Humanoid Robots Part 1:"
2026-07-18T07:51:01.000+08:00,"@Gaurab","Gaurab Chakrabarti","40.6K",no,"unknown","United States",negative,-0.688,"credited",yes,4.86,no,no,67,10,4,"https://x.com/Gaurab/status/2078266250611040322","DRAM prices rose more than 90% in a single quarter this year. It's the steepest jump TrendForce has ever recorded, and they have not stopped climbing since. The common explanation is that AI ate the memory. That is true, but the question is how much of that 90% is actual shortage"
2026-07-18T07:25:28.000+08:00,"@3iwa","furuna","unknown",no,"unknown","Unknown",positive,0.772,"credited",yes,3.72,no,no,1,,1,"https://x.com/3iwa/status/2078259822445940868","CPO Testing Challenges: TSMC COUPE & Taiwan Supply Chain | TrendForce"
2026-07-18T02:02:44.000+08:00,"@NextFinAI","NextFin","1,433",no,"unknown","Unknown",neutral,0,"no_tf_content",no,0,no,no,4,4,,"https://x.com/NextFinAI/status/2078178605469954482",""
