timestamp,handle,displayName,followers,accountType,region,country,sentiment,sentimentScore,likes,retweets,replies,tweetUrl,text
2026-07-19T00:04:39.000+08:00,"@HyperTechInvest","Daniel Romero","41.1K","amplifier","United States","United States",negative,-2.5,9,,,"https://x.com/HyperTechInvest/status/2078511276083556463","This is such bullshit  1.  “Open-weight models are inherently decelerationist.”  Talk about a company called OpenAI. Lol  What’s actually decelerationist is pouring trillions into subpar AI labs  If Moonshot is able to build more with less, tell me: where should the dollars be"
2026-07-19T00:44:54.000+08:00,"@pequityresearch","P Equity Research ","8,899","amplifier","International","International",neutral,0,,,,"https://x.com/pequityresearch/status/2078521404492742887","I answered you already when you asked me. Meta Marshall and Ella Tulchinsky of MS did a Tech talk ""podcast"" where they discussed this on July 17. It is posted by MS which is why I said Morgan Stanley..."
2026-07-19T00:26:03.000+08:00,"@vikramskr","Vikram Sekar","19.5K","amplifier","International","International",neutral,0,1,,,"https://x.com/vikramskr/status/2078516661947355582","Looking forward!"
2026-07-19T00:20:20.000+08:00,"@pequityresearch","P Equity Research ","8,899","amplifier","International","International",neutral,0,2,,,"https://x.com/pequityresearch/status/2078515220826202457","The thesis is still very questionable...no confirmed revenue ramp after 2027. Pipeline is not a backlog."
2026-07-19T00:14:01.000+08:00,"@semivision_tw","SemiVision  ","11.7K","competitor","Taiwan","Taiwan",negative,-3.716,3,,5,"https://x.com/semivision_tw/status/2078513632510390568","Geopolitics Reshaping the Supply Chain  -Export controls + CHIPS Act + EU Chips Act are driving suppliers and fabs toward global diversification and regional proximity.  -China is boosting equipment penetration, but in the near term it remains difficult to displace global"
2026-07-19T00:07:10.000+08:00,"@pequityresearch","P Equity Research ","8,899","amplifier","International","International",positive,7.906,22,1,1,"https://x.com/pequityresearch/status/2078511910379524557","""Even if the memory shortage persists throughout 2027, research firms, sell-side analysts, and other prominent industry observers broadly agree that the supply-demand imbalance will begin to ease in 2028.""   Yes, that is correct. I actually have an interview transcript (I cannot"
2026-07-19T00:06:42.000+08:00,"@oguzerkan","Oguz Erkan","121.2K","amplifier","United States","United States",negative,-4.215,15,,4,"https://x.com/oguzerkan/status/2078511792653795622","I think this sell-off won’t get much deeper.  The market still looks overvalued across the board but not that much, given 5-10 year averages.  There is nothing on sight to trigger systemic outflows, so I don’t see how we can go much lower from here."
2026-07-19T05:36:33.000+08:00,"@bubbleboi","bubble boi","88.2K","amplifier","International","International",neutral,0,2,,1,"https://x.com/bubbleboi/status/2078594801247596707","HBM brother"
2026-07-19T05:30:18.000+08:00,"@bubbleboi","bubble boi","88.2K","amplifier","International","International",positive,2.96,,,,"https://x.com/bubbleboi/status/2078593228446548443","Yep basically where I am"
2026-07-19T05:30:00.000+08:00,"@bubbleboi","bubble boi","88.2K","amplifier","International","International",negative,-2.732,1,,1,"https://x.com/bubbleboi/status/2078593150025674995","Model weights aggregate over a batch so read once and used for multiple queries. They are low latency by definition and don’t live in dram or flash."
